id,marca,modelo,versao,ano_modelo,km,preco_antigo,novo_preco,parcela,cidade,estado,link,data_extracao
1,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2025/2025,30137.0,0.0,83700,1.0,Belém Marco,PA,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1247043,2026-03-29 05:21:37
2,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,36651.0,0.0,83700,1.0,Belo Horizonte Carlos Luz,MG,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1232008,2026-03-29 05:21:37
3,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,34073.0,0.0,83700,1.0,Betim,MG,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1199900,2026-03-29 05:21:37
4,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,34840.0,0.0,83700,1.0,Belém Senador,PA,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1194187,2026-03-29 05:21:37
5,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,30574.0,0.0,83700,1.0,Canoas,RS,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1181852,2026-03-29 05:21:37
6,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,29591.0,0.0,83700,1.0,Feira de Santana,BA,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1151579,2026-03-29 05:21:37
7,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2025/2025,32209.0,0.0,83700,1.0,Várzea Grande,MT,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1247599,2026-03-29 05:21:37
8,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2025/2025,38972.0,0.0,83700,1.0,Blumenau,SC,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1247041,2026-03-29 05:21:37
9,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,30052.0,0.0,83700,1.0,Belém Senador,PA,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1183070,2026-03-29 05:21:37
10,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,34140.0,0.0,83700,1.0,Fortaleza Av. Santos Dumont,CE,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1235798,2026-03-29 05:21:37
11,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2025/2025,35424.0,0.0,83700,1.0,Cuiabá,MT,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1247552,2026-03-29 05:21:37
12,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2025/2025,30358.0,0.0,83700,1.0,Blumenau,SC,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1246783,2026-03-29 05:21:37
13,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2025/2025,39731.0,0.0,83700,1.0,Taguatinga,DF,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1248159,2026-03-29 05:21:37
14,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,30423.0,0.0,83700,1.0,Contagem Babita Camargo,MG,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1205727,2026-03-29 05:21:37
15,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,29392.0,0.0,83700,1.0,Lauro de Freitas,BA,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1233606,2026-03-29 05:21:37
16,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,36224.0,0.0,83700,1.0,Serra,ES,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1235639,2026-03-29 05:21:37
17,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,37559.0,0.0,83700,1.0,Fortaleza Av. Santos Dumont,CE,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1235905,2026-03-29 05:21:37
18,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,39850.0,0.0,83700,1.0,Canoas,RS,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1181902,2026-03-29 05:21:37
19,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,39834.0,0.0,83700,1.0,Maringá,PR,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1194359,2026-03-29 05:21:37
20,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,36302.0,0.0,83700,1.0,Fortaleza,CE,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1180231,2026-03-29 05:21:37
21,Volkswagen,Saveiro,Robust 1.6 Total Flex 16v,2024/2025,27672.0,0.0,83700,1.0,Vitória,ES,https://www.seminovosmovida.com.br/veiculo/detalhe/Pickup/Volkswagen/Saveiro/1194323,2026-03-29 05:21:37
22,Hyundai,Hb20S,Comfort Plus 1.0 Flex 12v Mec.,2024/2025,48519.0,0.0,83800,1.0,Teresina,PI,https://www.seminovosmovida.com.br/veiculo/detalhe/Sedan/Hyundai/Hb20S/1171123,2026-03-29 05:21:37
23,Fiat,Cronos,Drive 1.3 8v Flex Aut.,2023/2024,62137.0,0.0,83800,1.0,Maceió,AL,https://www.seminovosmovida.com.br/veiculo/detalhe/Sedan/Fiat/Cronos/1026814,2026-03-29 05:21:37
24,Hyundai,Hb20S,Comfort Plus 1.0 Flex 12v Mec.,2024/2025,43525.0,0.0,83800,1.0,Feira de Santana,BA,https://www.seminovosmovida.com.br/veiculo/detalhe/Sedan/Hyundai/Hb20S/1171281,2026-03-29 05:21:37
25,Fiat,Cronos,Drive 1.0 6v Flex,2024/2025,26282.0,0.0,83800,1.0,Feira de Santana,BA,https://www.seminovosmovida.com.br/veiculo/detalhe/Sedan/Fiat/Cronos/1198051,2026-03-29 05:21:37
26,Volkswagen,Polo,Track 1.0 Flex 12v 5p,2025/2025,8048.0,0.0,83800,1.0,Nova Iguaçu,RJ,https://www.seminovosmovida.com.br/veiculo/detalhe/Hatch/Volkswagen/Polo/1245408,2026-03-29 05:21:37
27,Volkswagen,Polo,Track 1.0 Flex 12v 5p,2025/2025,6096.0,0.0,83800,1.0,Niterói,RJ,https://www.seminovosmovida.com.br/veiculo/detalhe/Hatch/Volkswagen/Polo/1264778,2026-03-29 05:21:37
